Delitos Faltas: Nivel 1;Delitos Faltas: Nivel 2;Delitos Faltas: Nivel 3;Delitos Faltas: Nivel 4;Delitos Faltas: Nivel 5;Edad;Periodo;Total
Total Infracciones;;;;;Total;2023;23.662
Total Infracciones;;;;;Total;2022;25.822
Total Infracciones;;;;;Total;2021;26.349
Total Infracciones;;;;;Total;2020;20.366
Total Infracciones;;;;;Total;2019;26.049
Total Infracciones;;;;;Total;2018;24.340
Total Infracciones;;;;;Total;2017;23.050
Total Infracciones;;;;;Total;2016;21.986
Total Infracciones;;;;;Total;2015;24.005
Total Infracciones;;;;;Total;2014;25.717
Total Infracciones;;;;;Total;2013;25.814
Total Infracciones;;;;;14 años;2023;4.427
Total Infracciones;;;;;14 años;2022;4.304
Total Infracciones;;;;;14 años;2021;4.110
Total Infracciones;;;;;14 años;2020;3.214
Total Infracciones;;;;;14 años;2019;4.281
Total Infracciones;;;;;14 años;2018;4.255
Total Infracciones;;;;;14 años;2017;3.853
Total Infracciones;;;;;14 años;2016;3.675
Total Infracciones;;;;;14 años;2015;4.157
Total Infracciones;;;;;14 años;2014;4.048
Total Infracciones;;;;;14 años;2013;3.994
Total Infracciones;;;;;15 años;2023;5.502
Total Infracciones;;;;;15 años;2022;5.861
Total Infracciones;;;;;15 años;2021;5.859
Total Infracciones;;;;;15 años;2020;4.548
Total Infracciones;;;;;15 años;2019;6.131
Total Infracciones;;;;;15 años;2018;5.669
Total Infracciones;;;;;15 años;2017;5.505
Total Infracciones;;;;;15 años;2016;5.223
Total Infracciones;;;;;15 años;2015;5.444
Total Infracciones;;;;;15 años;2014;5.865
Total Infracciones;;;;;15 años;2013;5.779
Total Infracciones;;;;;16 años;2023;6.422
Total Infracciones;;;;;16 años;2022;7.319
Total Infracciones;;;;;16 años;2021;8.089
Total Infracciones;;;;;16 años;2020;6.116
Total Infracciones;;;;;16 años;2019;7.808
Total Infracciones;;;;;16 años;2018;7.155
Total Infracciones;;;;;16 años;2017;6.692
Total Infracciones;;;;;16 años;2016;6.312
Total Infracciones;;;;;16 años;2015;6.696
Total Infracciones;;;;;16 años;2014;7.358
Total Infracciones;;;;;16 años;2013;7.460
Total Infracciones;;;;;17 años;2023;7.311
Total Infracciones;;;;;17 años;2022;8.338
Total Infracciones;;;;;17 años;2021;8.291
Total Infracciones;;;;;17 años;2020;6.488
Total Infracciones;;;;;17 años;2019;7.829
Total Infracciones;;;;;17 años;2018;7.261
Total Infracciones;;;;;17 años;2017;7.000
Total Infracciones;;;;;17 años;2016;6.776
Total Infracciones;;;;;17 años;2015;7.708
Total Infracciones;;;;;17 años;2014;8.446
Total Infracciones;;;;;17 años;2013;8.581
Total Infracciones;A Delitos;;;;Total;2023;23.662
Total Infracciones;A Delitos;;;;Total;2022;25.822
Total Infracciones;A Delitos;;;;Total;2021;26.349
Total Infracciones;A Delitos;;;;Total;2020;20.366
Total Infracciones;A Delitos;;;;Total;2019;26.049
Total Infracciones;A Delitos;;;;Total;2018;24.340
Total Infracciones;A Delitos;;;;Total;2017;22.269
Total Infracciones;A Delitos;;;;Total;2016;19.865
Total Infracciones;A Delitos;;;;Total;2015;15.779
Total Infracciones;A Delitos;;;;Total;2014;16.012
Total Infracciones;A Delitos;;;;Total;2013;16.646
Total Infracciones;A Delitos;;;;14 años;2023;4.427
Total Infracciones;A Delitos;;;;14 años;2022;4.304
Total Infracciones;A Delitos;;;;14 años;2021;4.110
Total Infracciones;A Delitos;;;;14 años;2020;3.214
Total Infracciones;A Delitos;;;;14 años;2019;4.281
Total Infracciones;A Delitos;;;;14 años;2018;4.255
Total Infracciones;A Delitos;;;;14 años;2017;3.720
Total Infracciones;A Delitos;;;;14 años;2016;3.299
Total Infracciones;A Delitos;;;;14 años;2015;2.606
Total Infracciones;A Delitos;;;;14 años;2014;2.472
Total Infracciones;A Delitos;;;;14 años;2013;2.470
Total Infracciones;A Delitos;;;;15 años;2023;5.502
Total Infracciones;A Delitos;;;;15 años;2022;5.861
Total Infracciones;A Delitos;;;;15 años;2021;5.859
Total Infracciones;A Delitos;;;;15 años;2020;4.548
Total Infracciones;A Delitos;;;;15 años;2019;6.131
Total Infracciones;A Delitos;;;;15 años;2018;5.669
Total Infracciones;A Delitos;;;;15 años;2017;5.317
Total Infracciones;A Delitos;;;;15 años;2016;4.695
Total Infracciones;A Delitos;;;;15 años;2015;3.555
Total Infracciones;A Delitos;;;;15 años;2014;3.612
Total Infracciones;A Delitos;;;;15 años;2013;3.732
Total Infracciones;A Delitos;;;;16 años;2023;6.422
Total Infracciones;A Delitos;;;;16 años;2022;7.319
Total Infracciones;A Delitos;;;;16 años;2021;8.089
Total Infracciones;A Delitos;;;;16 años;2020;6.116
Total Infracciones;A Delitos;;;;16 años;2019;7.808
Total Infracciones;A Delitos;;;;16 años;2018;7.155
Total Infracciones;A Delitos;;;;16 años;2017;6.474
Total Infracciones;A Delitos;;;;16 años;2016;5.710
Total Infracciones;A Delitos;;;;16 años;2015;4.433
Total Infracciones;A Delitos;;;;16 años;2014;4.609
Total Infracciones;A Delitos;;;;16 años;2013;4.862
Total Infracciones;A Delitos;;;;17 años;2023;7.311
Total Infracciones;A Delitos;;;;17 años;2022;8.338
Total Infracciones;A Delitos;;;;17 años;2021;8.291
Total Infracciones;A Delitos;;;;17 años;2020;6.488
Total Infracciones;A Delitos;;;;17 años;2019;7.829
Total Infracciones;A Delitos;;;;17 años;2018;7.261
Total Infracciones;A Delitos;;;;17 años;2017;6.758
Total Infracciones;A Delitos;;;;17 años;2016;6.161
Total Infracciones;A Delitos;;;;17 años;2015;5.185
Total Infracciones;A Delitos;;;;17 años;2014;5.319
Total Infracciones;A Delitos;;;;17 años;2013;5.582
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;Total;2023;114
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;Total;2022;91
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;Total;2021;63
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;Total;2020;52
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;Total;2019;52
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;Total;2018;33
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;Total;2017;38
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;Total;2016;36
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;Total;2015;51
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;Total;2014;34
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;Total;2013;49
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;14 años;2023;16
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;14 años;2022;10
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;14 años;2021;2
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;14 años;2020;4
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;14 años;2019;8
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;14 años;2018;4
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;14 años;2017;3
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;14 años;2016;4
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;14 años;2015;1
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;14 años;2014;0
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;14 años;2013;4
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;15 años;2023;25
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;15 años;2022;17
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;15 años;2021;15
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;15 años;2020;8
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;15 años;2019;9
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;15 años;2018;6
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;15 años;2017;5
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;15 años;2016;5
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;15 años;2015;18
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;15 años;2014;5
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;15 años;2013;7
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;16 años;2023;35
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;16 años;2022;22
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;16 años;2021;19
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;16 años;2020;13
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;16 años;2019;19
Total Infracciones;A Delitos;1 Homicidio y sus formas;;;16 años;2018;9
