Tipo de Delito: Nivel 1;Tipo de Delito: Nivel 2;Tipo de Delito: Nivel 3;Tipo de Delito: Nivel 4;Sexo del infractor;Periodo;Total
A Delitos;;;;Total;2023;403.194
A Delitos;;;;Total;2022;426.416
A Delitos;;;;Total;2021;410.842
A Delitos;;;;Total;2020;311.271
A Delitos;;;;Total;2019;412.571
A Delitos;;;;Total;2018;406.327
A Delitos;;;;Total;2017;394.301
A Delitos;;;;Total;2016;365.202
A Delitos;;;;Total;2015;288.756
A Delitos;;;;Total;2014;277.956
A Delitos;;;;Total;2013;275.196
A Delitos;;;;Hombres;2023;332.903
A Delitos;;;;Hombres;2022;351.758
A Delitos;;;;Hombres;2021;337.421
A Delitos;;;;Hombres;2020;254.942
A Delitos;;;;Hombres;2019;332.039
A Delitos;;;;Hombres;2018;326.764
A Delitos;;;;Hombres;2017;317.597
A Delitos;;;;Hombres;2016;299.011
A Delitos;;;;Hombres;2015;250.609
A Delitos;;;;Hombres;2014;245.933
A Delitos;;;;Hombres;2013;246.144
A Delitos;;;;Mujeres;2023;70.291
A Delitos;;;;Mujeres;2022;74.658
A Delitos;;;;Mujeres;2021;73.421
A Delitos;;;;Mujeres;2020;56.329
A Delitos;;;;Mujeres;2019;80.532
A Delitos;;;;Mujeres;2018;79.563
A Delitos;;;;Mujeres;2017;76.704
A Delitos;;;;Mujeres;2016;66.191
A Delitos;;;;Mujeres;2015;38.147
A Delitos;;;;Mujeres;2014;32.023
A Delitos;;;;Mujeres;2013;29.052
A Delitos;1 Homicidio y sus formas;;;Total;2023;1.046
A Delitos;1 Homicidio y sus formas;;;Total;2022;1.088
A Delitos;1 Homicidio y sus formas;;;Total;2021;1.145
A Delitos;1 Homicidio y sus formas;;;Total;2020;1.036
A Delitos;1 Homicidio y sus formas;;;Total;2019;1.099
A Delitos;1 Homicidio y sus formas;;;Total;2018;1.087
A Delitos;1 Homicidio y sus formas;;;Total;2017;1.158
A Delitos;1 Homicidio y sus formas;;;Total;2016;1.252
A Delitos;1 Homicidio y sus formas;;;Total;2015;1.355
A Delitos;1 Homicidio y sus formas;;;Total;2014;1.295
